"subject","item","prime","passive"
40,17,"passive",1
40,19,"active",1
41,14,"passive",1
41,12,"active",1
41,10,"passive",1
41,8,"active",0
41,6,"passive",1
41,4,"active",1
41,2,"passive",1
42,19,"active",1
42,17,"passive",1
42,15,"active",0
42,13,"passive",1
42,11,"active",1
42,7,"active",1
42,5,"passive",0
42,3,"active",1
43,19,"active",0
43,17,"passive",0
43,15,"active",0
43,11,"active",0
43,9,"passive",0
43,7,"active",0
43,5,"passive",0
43,3,"active",0
43,1,"passive",0
44,1,"passive",0
44,3,"active",0
44,5,"passive",0
44,7,"active",1
44,9,"passive",0
44,11,"active",1
44,13,"passive",0
44,15,"active",0
44,17,"passive",0
44,19,"active",1
45,1,"passive",1
45,3,"active",1
45,5,"passive",1
45,7,"active",1
45,11,"active",1
45,13,"passive",1
45,15,"active",0
45,17,"passive",1
45,19,"active",1
46,1,"passive",0
46,3,"active",1
46,5,"passive",1
46,11,"active",0
46,13,"passive",1
46,15,"active",1
46,17,"passive",1
46,19,"active",1
47,1,"passive",1
47,5,"passive",1
47,7,"active",1
47,9,"passive",1
47,11,"active",1
47,13,"passive",1
47,15,"active",0
47,17,"passive",1
47,19,"active",1
48,19,"active",1
48,15,"active",0
48,13,"passive",1
48,11,"active",0
48,5,"passive",0
48,3,"active",1
49,1,"passive",0
49,3,"active",1
49,5,"passive",1
49,7,"active",1
49,9,"passive",0
49,13,"passive",1
49,15,"active",0
49,17,"passive",0
49,19,"active",0
50,17,"active",0
50,15,"passive",1
50,13,"active",0
50,11,"passive",0
50,9,"active",0
50,7,"passive",1
50,5,"active",0
50,3,"passive",0
50,1,"active",0
51,20,"active",1
51,18,"passive",1
51,16,"active",1
51,14,"passive",1
51,12,"active",1
51,10,"passive",1
51,6,"passive",1
51,2,"passive",1
52,19,"active",0
52,11,"active",1
52,7,"active",0
53,19,"active",1
53,17,"passive",1
53,15,"active",1
53,13,"passive",1
53,11,"active",1
53,7,"active",1
53,1,"passive",1
54,19,"active",0
54,15,"active",0
54,13,"passive",1
54,11,"active",0
54,9,"passive",0
54,3,"active",1
55,19,"active",0
55,17,"passive",0
55,15,"active",0
55,13,"passive",1
55,11,"active",0
55,5,"passive",1
55,3,"active",0
55,1,"passive",0
56,1,"passive",1
56,3,"active",1
56,7,"active",1
56,11,"active",0
56,13,"passive",0
56,15,"active",1
56,17,"passive",1
56,19,"active",0
57,19,"active",1
57,17,"passive",1
57,15,"active",0
57,13,"passive",1
57,11,"active",0
57,9,"passive",0
57,7,"active",1
57,5,"passive",0
57,3,"active",0
57,1,"passive",0
58,2,"active",1
58,4,"passive",1
58,6,"active",0
58,8,"passive",1
58,10,"active",1
58,12,"passive",1
58,14,"active",1
58,20,"passive",1
59,13,"passive",1
59,11,"active",1
60,1,"passive",1
60,11,"active",0
60,13,"passive",1
60,15,"active",1
60,17,"passive",1
60,19,"active",1
61,1,"passive",1
61,3,"active",1
61,7,"active",0
61,13,"passive",0
61,15,"active",0
61,17,"passive",0
61,19,"active",1
62,2,"active",1
62,4,"passive",1
62,12,"passive",1
62,14,"active",1
62,18,"active",0
62,20,"passive",1
63,17,"passive",1
63,15,"active",0
63,9,"passive",0
63,7,"active",1
63,1,"passive",1
64,19,"active",0
64,17,"passive",0
64,15,"active",0
64,13,"passive",0
64,11,"active",0
64,9,"passive",0
64,7,"active",0
64,5,"passive",0
64,3,"active",0
64,1,"passive",0
65,1,"passive",0
65,3,"active",0
65,5,"passive",0
65,9,"passive",0
65,11,"active",0
65,13,"passive",0
65,15,"active",1
65,17,"passive",0
65,19,"active",0
66,19,"active",1
66,17,"passive",1
66,15,"active",1
66,13,"passive",1
66,11,"active",1
66,7,"active",1
66,3,"active",1
67,5,"passive",1
67,7,"active",1
67,11,"active",1
67,13,"passive",1
67,15,"active",1
67,17,"passive",0
67,19,"active",1
68,19,"active",0
68,17,"passive",1
68,15,"active",0
68,13,"passive",1
68,11,"active",0
68,7,"active",0
68,5,"passive",0
68,3,"active",0
68,1,"passive",0
69,19,"active",0
69,17,"passive",0
69,13,"passive",0
69,5,"passive",0
70,1,"passive",1
70,5,"passive",1
70,7,"active",1
70,9,"passive",1
70,11,"active",1
70,13,"passive",1
70,15,"active",0
70,17,"passive",0
70,19,"active",0
71,1,"passive",1
71,5,"passive",1
71,7,"active",1
71,9,"passive",1
71,11,"active",1
71,13,"passive",1
71,15,"active",1
71,17,"passive",1
71,19,"active",1
72,2,"active",1
72,4,"passive",1
72,6,"active",1
72,8,"passive",1
72,10,"active",1
72,12,"passive",1
72,14,"active",1
72,16,"passive",0
72,18,"active",0
72,20,"passive",1
